acc	R1	R2
SRR19586299	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/099/SRR19586299/SRR19586299_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/099/SRR19586299/SRR19586299_2.fastq.gz
SRR19586339	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/039/SRR19586339/SRR19586339_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/039/SRR19586339/SRR19586339_2.fastq.gz
SRR19586454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/054/SRR19586454/SRR19586454_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/054/SRR19586454/SRR19586454_2.fastq.gz
SRR19586455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/055/SRR19586455/SRR19586455_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/055/SRR19586455/SRR19586455_2.fastq.gz
SRR1033535	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/005/SRR1033535/SRR1033535_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/005/SRR1033535/SRR1033535_2.fastq.gz
SRR1121698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR1121698/SRR1121698_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR1121698/SRR1121698_2.fastq.gz
SRR1121715	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/005/SRR1121715/SRR1121715_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/005/SRR1121715/SRR1121715_2.fastq.gz
SRR1121601	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/001/SRR1121601/SRR1121601_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/001/SRR1121601/SRR1121601_2.fastq.gz
SRR1121638	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR1121638/SRR1121638_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR1121638/SRR1121638_2.fastq.gz
SRR1121731	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/001/SRR1121731/SRR1121731_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/001/SRR1121731/SRR1121731_2.fastq.gz
SRR1121616	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR1121616/SRR1121616_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR1121616/SRR1121616_2.fastq.gz
